word,part_of_speech,example_sentence
apple,苹果,She ate a red apple for lunch.
banana,香蕉,He peeled a banana and took a bite.
cherry,樱桃,She topped her dessert with a cherry.
grape,葡萄,The kids shared a bunch of grapes.
lemon,柠檬,He added a slice of lemon to his tea.
mango,芒果,Mango is her favorite fruit.
orange,橙子,She drank a glass of orange juice.
peach,桃子,He enjoyed a ripe peach for dessert.
pineapple,菠萝,They made a pineapple smoothie.
strawberry,草莓,She picked a fresh strawberry from the garden.
